LOG INTERVAL,4000,microseconds
TOTAL LOG TIME,181,seconds
HIP_CENTER_POS,780
KNEE_CENTER_POS,390
TRANSFER #,TIME,TIME DELTA,G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,HIP STEPPER,KNEE STEPPER,ABS KNEE ANGLE,GAIT STAGE,IMPULSE HIT
Missed Packet(s)
0,25660000,25660000,-0.01,0.26,-0.02,-0.08,0.01,-1.00,0.20,-0.19,-0.03,-0.11,0.05,1.00,779,0,0.00,9,0
1,25664000,4000,-0.05,-0.20,0.11,-0.08,0.01,-1.00,0.14,-0.25,-0.13,-0.11,0.05,1.00,779,0,0.00,9,0
2,25668000,4000,-0.04,0.15,-0.12,-0.08,0.01,-1.00,0.07,0.03,-0.03,-0.11,0.05,1.00,779,0,0.00,9,0
3,25672000,4000,-0.11,0.08,0.14,-0.08,0.01,-1.00,0.04,0.15,-0.13,-0.11,0.05,1.00,779,0,0.00,9,0
4,25676000,4000,-0.20,0.08,-0.36,-0.08,0.01,-1.00,0.08,-0.13,-0.03,-0.11,0.05,1.00,779,0,0.00,9,0
5,25680000,4000,0.01,0.24,-0.04,-0.08,0.01,-1.00,-0.02,-0.01,-0.47,-0.11,0.05,1.00,779,0,0.00,9,0
6,25684000,4000,0.02,0.11,-0.26,-0.08,0.01,-1.00,0.04,-0.04,-0.00,-0.11,0.05,1.00,779,0,0.00,9,0
7,25688000,4000,-0.23,0.30,0.02,-0.08,0.01,-1.00,-0.08,0.02,-0.22,-0.11,0.05,1.00,779,0,0.00,9,0
8,25692000,4000,-0.07,0.26,-0.08,-0.08,0.01,-1.00,0.02,-0.01,-0.09,-0.11,0.05,1.00,778,0,0.00,9,0
9,25696000,4000,-0.11,0.11,0.04,-0.08,0.01,-1.00,0.14,-0.23,0.09,-0.11,0.05,1.00,778,0,0.00,9,0
10,25700000,4000,-0.07,-0.04,0.20,-0.08,0.01,-1.00,0.04,-0.22,0.24,-0.11,0.05,1.00,778,0,0.00,9,0
